日時,用途,モデル,入力トークン,出力トークン,キャッシュ読出トークン,費用_usd,キー
2026-09-01 10:23:58,機能B（価格予測）,claude-opus-5,1093,115,1041,0.008861,92a405c853d1
2026-09-01 10:23:58,機能B（価格予測）,claude-opus-5,1252,85,1041,0.008906,93db80e5a11b
2026-09-01 10:23:59,機能B（価格予測）,claude-opus-5,1214,105,1041,0.009215,efd2fd2c3f0a
2026-09-01 10:24:00,機能B（価格予測）,claude-opus-5,1585,105,1041,0.011071,10525d956b77
2026-09-01 10:24:00,機能B（価格予測）,claude-opus-5,1658,94,1041,0.011161,316e1c208cdf
2026-09-01 10:24:00,機能B（価格予測）,claude-opus-5,1234,98,1041,0.00914,7fa8cfe00034
2026-09-01 10:24:01,機能B（価格予測）,claude-opus-5,1209,111,1041,0.00934,5ddb1267b164
2026-09-01 10:24:02,機能B（価格予測）,claude-opus-5,1486,88,1041,0.01015,6513a6d566f2
2026-09-01 10:24:03,機能B（価格予測）,claude-opus-5,1567,87,1041,0.01053,54170068e32c
2026-09-01 10:24:03,機能B（価格予測）,claude-opus-5,1510,115,1041,0.010946,df6dd8550ff1
2026-09-01 10:24:04,機能B（価格予測）,claude-opus-5,1100,102,1041,0.00857,2ac2a696c936
2026-09-01 10:24:04,機能B（価格予測）,claude-opus-5,1432,95,1041,0.010056,2cb6cd7bf070
2026-09-01 10:24:04,機能B（価格予測）,claude-opus-5,1421,125,1041,0.01075,4c279a6ae993
2026-09-01 10:24:04,機能B（価格予測）,claude-opus-5,1588,105,1041,0.011085,5549f65a571d
2026-09-01 10:24:06,機能B（価格予測）,claude-opus-5,1549,111,1041,0.01104,1a14c1d6a446
2026-09-01 10:24:07,機能B（価格予測）,claude-opus-5,1503,99,1041,0.010511,5ee2cc6f93ea
2026-09-01 10:24:08,機能B（価格予測）,claude-opus-5,1569,100,1041,0.010866,3b854b2db56f
2026-09-01 10:24:08,機能B（価格予測）,claude-opus-5,1453,119,1041,0.01076,c656733591cc
2026-09-01 10:24:08,機能B（価格予測）,claude-opus-5,1428,91,1041,0.009935,ebaa3a0b644c
2026-09-01 10:24:09,機能B（価格予測）,claude-opus-5,1181,109,1041,0.009151,2134367ea910
2026-09-01 10:24:09,機能B（価格予測）,claude-opus-5,1427,119,1041,0.01063,68e4ce8b6420
2026-09-01 10:24:10,機能B（価格予測）,claude-opus-5,1349,100,1041,0.009765,623bbaee11df
2026-09-01 10:24:10,機能B（価格予測）,claude-opus-5,1089,88,1041,0.008165,f82d5e302c33
2026-09-01 10:24:12,機能B（価格予測）,claude-opus-5,1662,126,1041,0.01198,30627841c3da
2026-09-01 10:24:12,機能B（価格予測）,claude-opus-5,1592,90,1041,0.010731,473a6306fee9
2026-09-01 10:24:12,機能B（価格予測）,claude-opus-5,1186,127,1041,0.009626,dd573907f8bc
2026-09-01 10:24:13,機能B（価格予測）,claude-opus-5,1394,122,1041,0.01054,2744fd29e4d7
2026-09-01 10:24:26,機能B（価格予測）,claude-opus-5,1589,116,1041,0.011366,57d76a81d917
2026-09-01 10:24:30,機能B（価格予測）,claude-opus-5,1655,88,1041,0.010996,32c09ede3699
2026-09-01 10:24:30,機能B（価格予測）,claude-opus-5,1673,95,1041,0.01126,a495ab541bf2
2026-09-01 10:24:31,機能B（価格予測）,claude-opus-5,1597,127,1041,0.01168,474c57a3f3a6
2026-09-01 10:24:31,機能B（価格予測）,claude-opus-5,1521,110,1041,0.010875,5e6ab6af4724
2026-09-01 10:24:31,機能B（価格予測）,claude-opus-5,1504,108,1041,0.010741,e58dac5bdc2f
2026-09-01 10:24:31,機能B（価格予測）,claude-opus-5,1597,117,1041,0.01143,ed3f3794c832
2026-09-01 10:24:32,機能B（価格予測）,claude-opus-5,1507,108,1041,0.010755,923cb38f7390
2026-09-01 10:24:32,機能B（価格予測）,claude-opus-5,1302,104,1041,0.009631,e95594d0a4e2
2026-09-01 10:24:34,機能B（価格予測）,claude-opus-5,1529,107,1041,0.01084,bbf3e50b9346
2026-09-01 10:24:35,機能B（価格予測）,claude-opus-5,1613,122,1041,0.011636,2211fb1d5ba2
2026-09-01 10:24:35,機能B（価格予測）,claude-opus-5,1644,91,1041,0.011015,794e849cc1f9
2026-09-01 10:24:35,機能B（価格予測）,claude-opus-5,1677,97,1041,0.011331,83be8aa703f3
2026-09-01 10:24:35,機能B（価格予測）,claude-opus-5,1648,108,1041,0.011461,e77bfab5862e
2026-09-01 10:24:36,機能B（価格予測）,claude-opus-5,1565,125,1041,0.01147,97665bc3a3e3
2026-09-01 10:24:37,機能B（価格予測）,claude-opus-5,1624,100,1041,0.01114,561793dab649
2026-09-01 10:24:37,機能B（価格予測）,claude-opus-5,1586,93,1041,0.010776,c6b368a29361
2026-09-01 10:24:39,機能B（価格予測）,claude-opus-5,1321,102,1041,0.009676,b29e6730cf1b
2026-09-01 10:24:39,機能B（価格予測）,claude-opus-5,1182,101,1041,0.008955,e036909201ae
2026-09-01 10:24:40,機能B（価格予測）,claude-opus-5,1511,113,1041,0.010901,26229661d4f2
2026-09-01 10:24:40,機能B（価格予測）,claude-opus-5,1508,125,1041,0.011185,655c1e51e74a
2026-09-01 10:24:40,機能B（価格予測）,claude-opus-5,1519,120,1041,0.011116,79f4081aab88
2026-09-01 10:24:41,機能B（価格予測）,claude-opus-5,1597,115,1041,0.01138,44e7d6fb66dc
2026-09-01 10:24:41,機能B（価格予測）,claude-opus-5,1184,115,1041,0.009316,fd087d5458e9
2026-09-01 10:24:42,機能B（価格予測）,claude-opus-5,1616,100,1041,0.0111,938c5a0e4c2d
2026-09-01 10:24:44,機能B（価格予測）,claude-opus-5,1623,116,1041,0.011536,427f8605b7ee
2026-09-01 10:24:44,機能B（価格予測）,claude-opus-5,1232,108,1041,0.00938,63d46bcbb909
2026-09-01 10:24:44,機能B（価格予測）,claude-opus-5,1259,113,1041,0.00964,9971453ebb1a
2026-09-01 10:24:44,機能B（価格予測）,claude-opus-5,1646,111,1041,0.011525,cfe124df9e40
2026-09-01 10:24:45,機能B（価格予測）,claude-opus-5,1240,116,1041,0.009621,663290381de4
2026-09-01 10:24:45,機能B（価格予測）,claude-opus-5,1615,99,1041,0.011071,9092f5749068
2026-09-01 10:24:46,機能B（価格予測）,claude-opus-5,1323,106,1041,0.009786,8c46306119fe
2026-09-01 10:24:46,機能B（価格予測）,claude-opus-5,1185,102,1041,0.008996,f8917f62e5b8
2026-09-01 10:24:48,機能B（価格予測）,claude-opus-5,1618,83,1041,0.010686,c8711d81c089
2026-09-01 10:24:49,機能B（価格予測）,claude-opus-5,1629,106,1041,0.011315,4a999ca8a4af
2026-09-01 10:24:49,機能B（価格予測）,claude-opus-5,1231,115,1041,0.00955,4f92315ab487
2026-09-01 10:24:49,機能B（価格予測）,claude-opus-5,1191,122,1041,0.009525,b7d449e98d18
2026-09-01 10:24:49,機能B（価格予測）,claude-opus-5,1549,100,1041,0.010766,c8dac4913c32
2026-09-01 10:24:51,機能B（価格予測）,claude-opus-5,1496,112,1041,0.0108,7de5c52af517
2026-09-01 10:24:51,機能B（価格予測）,claude-opus-5,1606,92,1041,0.010851,b1a3df0c50df
2026-09-01 10:24:51,機能B（価格予測）,claude-opus-5,1300,103,1041,0.009595,c423bbbd11f5
2026-09-01 10:24:53,機能B（価格予測）,claude-opus-5,1367,91,1041,0.009631,4fb4d222edf5
2026-09-01 10:24:53,機能B（価格予測）,claude-opus-5,1102,107,1041,0.008705,5987e9427cc2
2026-09-01 10:24:53,機能B（価格予測）,claude-opus-5,1485,111,1041,0.010721,62c125d3f803
2026-09-01 10:24:54,機能B（価格予測）,claude-opus-5,1507,118,1041,0.011005,ce0d40e156f9
2026-09-01 10:24:55,機能B（価格予測）,claude-opus-5,1110,84,1041,0.008171,15dcd5bbbc01
2026-09-01 10:24:55,機能B（価格予測）,claude-opus-5,1623,110,1041,0.011385,22dc280589b0
2026-09-01 10:24:55,機能B（価格予測）,claude-opus-5,1133,99,1041,0.00866,6b5bce43c3c8
2026-09-01 10:24:56,機能B（価格予測）,claude-opus-5,1483,98,1041,0.010386,498b7f477b02
2026-09-01 10:24:58,機能B（価格予測）,claude-opus-5,1107,115,1041,0.00893,37009455f857
2026-09-01 10:24:58,機能B（価格予測）,claude-opus-5,1344,109,1041,0.009966,4033d9d92443
2026-09-01 10:24:58,機能B（価格予測）,claude-opus-5,1614,126,1041,0.01174,b8987fa43f85
2026-09-01 10:24:59,機能B（価格予測）,claude-opus-5,1480,101,1041,0.010445,1334e45be564
2026-09-01 10:25:00,機能B（価格予測）,claude-opus-5,1600,117,1041,0.011446,0c5625745630
2026-09-01 10:25:00,機能B（価格予測）,claude-opus-5,1627,90,1041,0.010906,172fae4f307a
2026-09-01 10:25:00,機能B（価格予測）,claude-opus-5,1169,141,1041,0.00989,24f835e5223f
2026-09-01 10:25:00,機能B（価格予測）,claude-opus-5,1211,99,1041,0.00905,cc525d73fb93
2026-09-01 10:25:02,機能B（価格予測）,claude-opus-5,1200,99,1041,0.008996,acffb1c321bf
2026-09-01 10:25:02,機能B（価格予測）,claude-opus-5,1222,109,1041,0.009355,e478ddb95a51
2026-09-01 10:25:03,機能B（価格予測）,claude-opus-5,1153,112,1041,0.009085,b5e61775f5c1
2026-09-01 10:25:16,機能B（価格予測）,claude-opus-5,1661,115,1041,0.011701,8d5f576204a2
2026-09-01 10:25:20,機能B（価格予測）,claude-opus-5,1585,93,1041,0.010771,72264d79df19
2026-09-01 10:25:21,機能B（価格予測）,claude-opus-5,1614,90,1041,0.01084,224e7cb4c9ec
2026-09-01 10:25:21,機能B（価格予測）,claude-opus-5,1574,123,1041,0.011465,3fd4ba4fb436
2026-09-01 10:25:21,機能B（価格予測）,claude-opus-5,1203,107,1041,0.00921,4200c0fedb48
2026-09-01 10:25:21,機能B（価格予測）,claude-opus-5,1656,89,1041,0.011026,64b3028b0edc
2026-09-01 10:25:21,機能B（価格予測）,claude-opus-5,1653,98,1041,0.011236,778e2400ba43
2026-09-01 10:25:21,機能B（価格予測）,claude-opus-5,1657,96,1041,0.011206,af312bcf35c3
2026-09-01 10:25:22,機能B（価格予測）,claude-opus-5,1419,101,1041,0.010141,335efc5b26cf
2026-09-01 10:25:25,機能B（価格予測）,claude-opus-5,1649,111,1041,0.011541,134565197124
2026-09-01 10:25:25,機能B（価格予測）,claude-opus-5,1703,96,1041,0.011435,7155fa2b5965
2026-09-01 10:25:25,機能B（価格予測）,claude-opus-5,1186,107,1041,0.009125,c7fdf9b08f51
2026-09-01 10:25:26,機能B（価格予測）,claude-opus-5,1594,110,1041,0.011241,61f608770619
2026-09-01 10:25:26,機能B（価格予測）,claude-opus-5,1197,99,1041,0.008981,821b35a33a86
2026-09-01 10:25:26,機能B（価格予測）,claude-opus-5,1654,116,1041,0.01169,d0922e172ff4
2026-09-01 10:25:27,機能B（価格予測）,claude-opus-5,1580,131,1041,0.011695,63df1d6581e9
2026-09-01 10:25:27,機能B（価格予測）,claude-opus-5,1609,133,1041,0.011891,804df26ca1c0
2026-09-01 10:25:29,機能B（価格予測）,claude-opus-5,1607,111,1041,0.011331,93a4ad73c282
2026-09-01 10:25:30,機能B（価格予測）,claude-opus-5,1274,96,1041,0.009291,262d16b0a8c8
2026-09-01 10:25:30,機能B（価格予測）,claude-opus-5,1625,105,1041,0.01127,2b3c980a958d
2026-09-01 10:25:30,機能B（価格予測）,claude-opus-5,1209,81,1041,0.00859,3934b477ae8d
2026-09-01 10:25:31,機能B（価格予測）,claude-opus-5,1608,120,1041,0.01156,72c00641f21f
2026-09-01 10:25:31,機能B（価格予測）,claude-opus-5,1157,106,1041,0.008955,8ecc0d50bcba
2026-09-01 10:25:32,機能B（価格予測）,claude-opus-5,1561,102,1041,0.010875,3ad9efe587a9
2026-09-01 10:25:34,機能B（価格予測）,claude-opus-5,1589,90,1041,0.010715,82dcde8fbf6c
2026-09-01 10:25:34,機能B（価格予測）,claude-opus-5,1627,130,1041,0.011905,84ffe45c5633
2026-09-01 10:25:34,機能B（価格予測）,claude-opus-5,1671,101,1041,0.0114,f63ced6f2e18
2026-09-01 10:25:35,機能B（価格予測）,claude-opus-5,1444,103,1041,0.010316,410f5635be54
2026-09-01 10:25:35,機能B（価格予測）,claude-opus-5,1221,104,1041,0.009225,7940da386791
2026-09-01 10:25:35,機能B（価格予測）,claude-opus-5,1639,102,1041,0.011265,8ed4c7b1d2d2
2026-09-01 10:25:37,機能B（価格予測）,claude-opus-5,1473,93,1041,0.010211,a38d9c3e7258
2026-09-01 10:25:37,機能B（価格予測）,claude-opus-5,1451,128,1041,0.010975,e0a0bd8a3fa4
2026-09-01 10:25:38,機能B（価格予測）,claude-opus-5,1578,81,1041,0.010436,33ab19f87dba
2026-09-01 10:25:39,機能B（価格予測）,claude-opus-5,1476,120,1041,0.010901,17114824da65
2026-09-01 10:25:39,機能B（価格予測）,claude-opus-5,1595,100,1041,0.010996,e7dbef0d8d4e
2026-09-01 10:25:40,機能B（価格予測）,claude-opus-5,1720,91,1041,0.011395,9bec23a0d40f
2026-09-01 10:25:40,機能B（価格予測）,claude-opus-5,1546,110,1041,0.011,b463b46d1d3f
2026-09-01 10:25:40,機能B（価格予測）,claude-opus-5,1630,137,1041,0.012096,d0f49269a83f
2026-09-01 10:25:41,機能B（価格予測）,claude-opus-5,1204,109,1041,0.009265,7e72497dec01
2026-09-01 10:25:43,機能B（価格予測）,claude-opus-5,1366,84,1041,0.009451,52e2a124801c
2026-09-01 10:25:43,機能B（価格予測）,claude-opus-5,1579,96,1041,0.010816,770c00bf92f1
2026-09-01 10:25:43,機能B（価格予測）,claude-opus-5,1089,111,1041,0.008741,a0740cc8418d
2026-09-01 10:25:44,機能B（価格予測）,claude-opus-5,1703,125,1041,0.01216,300dae2b3fb7
2026-09-01 10:25:44,機能B（価格予測）,claude-opus-5,1404,81,1041,0.009565,897a5fa628e2
2026-09-01 10:25:44,機能B（価格予測）,claude-opus-5,1647,109,1041,0.01148,92a86d114e6f
2026-09-01 10:25:45,機能B（価格予測）,claude-opus-5,1619,117,1041,0.011541,46bd968c8cbd
2026-09-01 10:25:46,機能B（価格予測）,claude-opus-5,1209,115,1041,0.00944,c9e224995b93
2026-09-01 10:25:48,機能B（価格予測）,claude-opus-5,1181,104,1041,0.009026,1481af70975f
2026-09-01 10:25:48,機能B（価格予測）,claude-opus-5,1599,123,1041,0.011591,5a9fe57ebb59
2026-09-01 10:25:48,機能B（価格予測）,claude-opus-5,1101,86,1041,0.008176,7f5da6ddbe7c
2026-09-01 10:25:49,機能B（価格予測）,claude-opus-5,1145,94,1041,0.008596,3c0510938025
2026-09-01 10:25:49,機能B（価格予測）,claude-opus-5,1144,106,1041,0.008891,c07532731f45
2026-09-01 10:25:49,機能B（価格予測）,claude-opus-5,1663,107,1041,0.01151,e2f29905424b
2026-09-01 10:25:50,機能B（価格予測）,claude-opus-5,1257,116,1041,0.009706,8ca3c7a0b217
2026-09-01 10:25:51,機能B（価格予測）,claude-opus-5,1452,132,1041,0.011081,7c59c63f0d1b
2026-09-01 10:25:52,機能B（価格予測）,claude-opus-5,1414,117,1041,0.010516,1f3edcff33af
2026-09-01 10:25:52,機能B（価格予測）,claude-opus-5,1428,89,1041,0.009886,b299b6daa0ae
2026-09-01 10:25:53,機能B（価格予測）,claude-opus-5,1220,110,1041,0.009371,e670ed5a80c1
2026-09-01 10:25:54,機能B（価格予測）,claude-opus-5,1547,102,1041,0.010805,0294acde74c9
2026-09-01 10:25:54,機能B（価格予測）,claude-opus-5,1366,102,1041,0.0099,f94993419a1f
2026-09-01 10:26:05,機能B（価格予測）,claude-opus-5,1586,69,1041,0.010176,f0af7d2771e7
2026-09-01 10:26:09,機能B（価格予測）,claude-opus-5,1611,108,1041,0.011276,108fb58ec990
2026-09-01 10:26:09,機能B（価格予測）,claude-opus-5,1625,108,1041,0.011345,212dc2549fb9
2026-09-01 10:26:09,機能B（価格予測）,claude-opus-5,1615,102,1041,0.011145,b77f9fd99a6b
2026-09-01 10:26:10,機能B（価格予測）,claude-opus-5,1601,118,1041,0.011475,379088253f0c
2026-09-01 10:26:10,機能B（価格予測）,claude-opus-5,1598,96,1041,0.010911,978b43b65161
2026-09-01 10:26:10,機能B（価格予測）,claude-opus-5,1598,110,1041,0.01126,af053a180cc9
2026-09-01 10:26:10,機能B（価格予測）,claude-opus-5,1643,116,1041,0.011636,c289475985bf
2026-09-01 10:26:11,機能B（価格予測）,claude-opus-5,1632,116,1041,0.011581,6d721bd525e3
2026-09-01 10:26:13,機能B（価格予測）,claude-opus-5,1646,90,1041,0.011,4e48e4f59aaa
2026-09-01 10:26:14,機能B（価格予測）,claude-opus-5,1423,106,1041,0.010285,3a2d49a0c4ca
2026-09-01 10:26:14,機能B（価格予測）,claude-opus-5,1272,134,1041,0.010231,7788d77beb3f
2026-09-01 10:26:14,機能B（価格予測）,claude-opus-5,1657,103,1041,0.01138,b0e298ec8033
2026-09-01 10:26:14,機能B（価格予測）,claude-opus-5,1578,99,1041,0.010885,fc282d1a3dfd
2026-09-01 10:26:16,機能B（価格予測）,claude-opus-5,1609,98,1041,0.011015,4264af7c32de
2026-09-01 10:26:16,機能B（価格予測）,claude-opus-5,1621,121,1041,0.01165,68ef436b8ea6
2026-09-01 10:26:16,機能B（価格予測）,claude-opus-5,1617,109,1041,0.011331,e682261dd767
2026-09-01 10:26:17,機能B（価格予測）,claude-opus-5,1586,87,1041,0.010625,52d9497bbbff
2026-09-01 10:26:18,機能B（価格予測）,claude-opus-5,1551,102,1041,0.010826,f4996c072121
2026-09-01 10:26:19,機能B（価格予測）,claude-opus-5,1626,138,1041,0.012101,4a0e2a0b3247
2026-09-01 10:26:19,機能B（価格予測）,claude-opus-5,1602,126,1041,0.01168,94df2af13812
2026-09-01 10:26:19,機能B（価格予測）,claude-opus-5,1237,108,1041,0.009406,f45d08465cd9
2026-09-01 10:26:21,機能B（価格予測）,claude-opus-5,1680,108,1041,0.011621,24735bb766f0
2026-09-01 10:26:21,機能B（価格予測）,claude-opus-5,1632,99,1041,0.011156,2e78d3878db9
2026-09-01 10:26:21,機能B（価格予測）,claude-opus-5,1635,107,1041,0.011371,51b246dbc3c7
2026-09-01 10:26:21,機能B（価格予測）,claude-opus-5,1637,95,1041,0.011081,bd7621a22b2c
2026-09-01 10:26:23,機能B（価格予測）,claude-opus-5,1169,138,1041,0.009815,1a083c9f23a3
2026-09-01 10:26:23,機能B（価格予測）,claude-opus-5,1502,94,1041,0.010381,1b7a15e93435
2026-09-01 10:26:23,機能B（価格予測）,claude-opus-5,1553,95,1041,0.01066,ba27fe8f3b2d
2026-09-01 10:26:24,機能B（価格予測）,claude-opus-5,1598,97,1041,0.010936,d915da3be3ee
2026-09-01 10:26:25,機能B（価格予測）,claude-opus-5,1188,88,1041,0.00866,b935931d0495
2026-09-01 10:26:25,機能B（価格予測）,claude-opus-5,1748,104,1041,0.01186,c5d3cfd6bbaf
2026-09-01 10:26:26,機能B（価格予測）,claude-opus-5,1598,109,1041,0.011236,efc1f3d72b30
2026-09-01 10:26:27,機能B（価格予測）,claude-opus-5,1120,93,1041,0.008445,18a9e03493d1
2026-09-01 10:26:27,機能B（価格予測）,claude-opus-5,1636,93,1041,0.011026,33ca60aa6d25
2026-09-01 10:26:28,機能B（価格予測）,claude-opus-5,1079,91,1041,0.00819,3820e595bc64
2026-09-01 10:26:28,機能B（価格予測）,claude-opus-5,1589,118,1041,0.011416,678f1ac03ccd
2026-09-01 10:26:28,機能B（価格予測）,claude-opus-5,1552,110,1041,0.011031,88d975b80970
2026-09-01 10:26:31,機能B（価格予測）,claude-opus-5,1542,159,1041,0.012205,b765da315d23
2026-09-01 10:26:31,機能B（価格予測）,claude-opus-5,1115,98,1041,0.008545,f25805a52e6f
2026-09-01 10:26:32,機能B（価格予測）,claude-opus-5,1386,105,1041,0.010075,126e41083d15
2026-09-01 10:26:32,機能B（価格予測）,claude-opus-5,1209,116,1041,0.009465,8c4264897bc7
2026-09-01 10:26:32,機能B（価格予測）,claude-opus-5,1537,146,1041,0.011855,ca5b326ab228
2026-09-01 10:26:33,機能B（価格予測）,claude-opus-5,1305,110,1041,0.009796,26c4ba6d54f1
2026-09-01 10:26:33,機能B（価格予測）,claude-opus-5,1399,107,1041,0.01019,31874d108aad
2026-09-01 10:26:33,機能B（価格予測）,claude-opus-5,1481,238,1041,0.013876,fd2cae5bef0d
2026-09-01 10:26:35,機能B（価格予測）,claude-opus-5,1192,120,1041,0.00948,f488c0cb353d
2026-09-01 10:26:36,機能B（価格予測）,claude-opus-5,1502,102,1041,0.01058,22850542a9ec
2026-09-01 10:26:36,機能B（価格予測）,claude-opus-5,1600,101,1041,0.011045,3f7b3daab841
2026-09-01 10:26:36,機能B（価格予測）,claude-opus-5,1367,111,1041,0.010131,5dab1648ebc1
2026-09-01 10:26:37,機能B（価格予測）,claude-opus-5,1162,113,1041,0.009156,aed28c97cbd8
2026-09-01 10:26:38,機能B（価格予測）,claude-opus-5,1545,104,1041,0.010845,3f14085e4428
2026-09-01 10:26:38,機能B（価格予測）,claude-opus-5,1640,114,1041,0.01157,bbafabcaa294
2026-09-01 10:26:38,機能B（価格予測）,claude-opus-5,1646,135,1041,0.012126,d2df5174cb73
2026-09-01 10:26:40,機能B（価格予測）,claude-opus-5,1195,103,1041,0.009071,03cd4a6d56e8
2026-09-01 10:26:40,機能B（価格予測）,claude-opus-5,1579,109,1041,0.01114,11207e367c08
2026-09-01 10:26:41,機能B（価格予測）,claude-opus-5,1436,111,1041,0.010476,51e8d5469af5
2026-09-01 10:26:41,機能B（価格予測）,claude-opus-5,1503,96,1041,0.010436,ecafb6a2eaac
2026-09-01 10:26:42,機能B（価格予測）,claude-opus-5,1264,102,1041,0.00939,059169888f74
2026-09-01 10:26:42,機能B（価格予測）,claude-opus-5,1426,115,1041,0.010526,d0af892f7020
2026-09-01 10:26:56,機能B（価格予測）,claude-opus-5,1595,107,1041,0.01117,c96a8514b792
2026-09-01 10:27:00,機能B（価格予測）,claude-opus-5,1224,86,1041,0.00879,0be1656f8ff2
2026-09-01 10:27:00,機能B（価格予測）,claude-opus-5,1626,135,1041,0.012025,0dbf2643151c
2026-09-01 10:27:00,機能B（価格予測）,claude-opus-5,1622,108,1041,0.011331,a74d4dec7786
2026-09-01 10:27:00,機能B（価格予測）,claude-opus-5,1590,114,1041,0.011321,d22798f867f2
2026-09-01 10:27:00,機能B（価格予測）,claude-opus-5,1620,110,1041,0.011371,dc226ce0a41e
2026-09-01 10:27:00,機能B（価格予測）,claude-opus-5,1601,114,1041,0.011376,e95222aba76c
2026-09-01 10:27:01,機能B（価格予測）,claude-opus-5,1247,128,1041,0.009956,6b5881bd27e0
2026-09-01 10:27:01,機能B（価格予測）,claude-opus-5,1340,105,1041,0.009846,bfcae2327adc
2026-09-01 10:27:05,機能B（価格予測）,claude-opus-5,1558,109,1041,0.011036,3c1cd0a3ae49
2026-09-01 10:27:05,機能B（価格予測）,claude-opus-5,1593,117,1041,0.011411,758398c37662
2026-09-01 10:27:05,機能B（価格予測）,claude-opus-5,1586,102,1041,0.011,9c5479c274da
2026-09-01 10:27:05,機能B（価格予測）,claude-opus-5,1632,108,1041,0.01138,dd3ae920ff42
2026-09-01 10:27:05,機能B（価格予測）,claude-opus-5,1673,100,1041,0.011385,ded2ae2dd486
2026-09-01 10:27:06,機能B（価格予測）,claude-opus-5,1611,112,1041,0.011376,3e62965d8aad
2026-09-01 10:27:06,機能B（価格予測）,claude-opus-5,1479,152,1041,0.011716,b01813bca21a
2026-09-01 10:27:06,機能B（価格予測）,claude-opus-5,1565,121,1041,0.011371,c622e228ad55
2026-09-01 10:27:09,機能B（価格予測）,claude-opus-5,1542,110,1041,0.010981,c62371b3df16
2026-09-01 10:27:10,機能B（価格予測）,claude-opus-5,1586,91,1041,0.010726,2c755d032232
